area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,2 BHK,Somwar Peth,TNrdet ,1450,2,1,57
Built-up  Area,Ready To Move,3 BHK,Swargate,B ncysi,1360,2,1,53
Built-up  Area,Ready To Move,2 BHK,Tilak Road,,1375,2,3,58
Super built-up  Area,Ready To Move,2 BHK,Uruli Devachi,Aklia R,1125,2,1,48
Super built-up  Area,Ready To Move,1 BHK,Vadgaon Budruk,,720,1,1,60
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,Brnia G,1460,2,2,100
Built-up  Area,Ready To Move,2 BHK,Viman Nagar,Makeser,1107,2,2,40
Built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,,1158,2,3,75
Super built-up  Area,Ready To Move,2 BHK,Wagholi,,800,1,1,30
Plot  Area,Ready To Move,9 Bedroom,Wakadewadi,NCdgerj,600,9,,90
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,Pride S,1760,3,2,128
Plot  Area,Ready To Move,4 Bedroom,Warje,,3200,4,2,200
Plot  Area,17-Dec,2 Bedroom,Yerawada,,600,3,2,145
Built-up  Area,Ready To Move,3 Bedroom,Alandi Road,,1350,3,1,60
Plot  Area,Ready To Move,6 Bedroom,Ambegaon Budruk,,600,6,3,100
Built-up  Area,18-Dec,2 BHK,Anandnagar,,1125,2,1,32.49
Super built-up  Area,Ready To Move,3 BHK,Aundh,,1706,3,3,154
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,PancyPr,1600,3,2,112
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,,1200,2,0,90
Super built-up  Area,Ready To Move,3 BHK,Baner,Gotis A,1755,3,3,101
Super built-up  Area,Ready To Move,2 BHK,Baner road,Chtali ,1200,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,,1200,2,2,67
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,GrhtiSr,1266.67,2,0,69
Super built-up  Area,Ready To Move,3 BHK,Bibvewadi,,1800,3,2,90
Plot  Area,Ready To Move,3 Bedroom,Bopodi,,1200,4,1,275
Super built-up  Area,22-Dec,3 BHK,Budhwar Peth,,1300,3,2,64
Plot  Area,Ready To Move,3 Bedroom,Bund Garden Road,,800,3,3,60
Plot  Area,Ready To Move,4 Bedroom,Camp,Pronege,4800,5,2,550
Super built-up  Area,18-May,2 BHK,Chandan Nagar,Brama P,942 - 1117,2,0,50.855
Super built-up  Area,Ready To Move,2 BHK,Dapodi,GrrvaGr,1128,2,2,40
Plot  Area,Ready To Move,2 Bedroom,Deccan Gymkhana,,2000,2,1,160
Super built-up  Area,18-Mar,2 BHK,Dehu Road,,1210,2,1,80
Super built-up  Area,18-Jul,4 BHK,Dhankawadi,RRnumn ,2710,6,2,142
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,GrrvaGr,1151,2,2,39
Super built-up  Area,19-Jan,5 BHK,Dhole Patil Road,,7500,8,3,1700
Super built-up  Area,Ready To Move,3 BHK,Erandwane,,1464,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Fatima Nagar,SriewGr,1017,2,2,27
Built-up  Area,Ready To Move,2 BHK,Fergusson College Road,Srncy R,920,2,1,40
Plot  Area,Ready To Move,4 Bedroom,Ganesh Peth,,1200,3,1,180
Plot  Area,Ready To Move,5 Bedroom,Ganeshkhind,,1000,5,2,140
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,DSalehn,1750,3,3,86.5
Built-up  Area,Ready To Move,2 BHK,Ghorpadi,Tavenew,1163,2,1,65
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Brnia G,1650,3,3,110
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,Goourta,1800,3,3,95
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,RatraNa,1100,2,1,58
Built-up  Area,Ready To Move,2 BHK,Hadapsar,,1200,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,PSdenGa,1410,3,2,65
Super built-up  Area,19-Jun,3 BHK,Hingne Khurd,,1933,3,2,98
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,Dhalsh ,1200,2,2,45.6
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,BMttaor,1608,2,3,63
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,2679,5,2,280
Super built-up  Area,Ready To Move,2 BHK,Karve Road,,1156,2,2,46.9
Plot  Area,18-Mar,2 Bedroom,Kasba Peth,,1230,2,0,75
Super built-up  Area,Ready To Move,1 BHK,Katraj,Srire S,770,1,1,43.82
Super built-up  Area,Ready To Move,3 BHK,Khadaki,SoystAm,1777.26,3,2,105
Super built-up  Area,Ready To Move,2 BHK,Khadki,PuandHi,1339,2,2,85
Built-up  Area,18-Mar,3 Bedroom,Kharadi,,3044,3,2,183
Built-up  Area,Ready To Move,2 BHK,Kondhwa,Mawerer,1080,2,2,44.8
Carpet  Area,Ready To Move,8 Bedroom,Kondhwa Budruk,,3150,5,2,145
Plot  Area,Ready To Move,2 Bedroom,Kondhwa Khurd,,2400,2,2,135
Built-up  Area,Ready To Move,3 BHK,Koregaon Park,Srise P,1450,3,3,72
Super built-up  Area,18-Mar,2 BHK,Kothrud,,1075,2,2,53
Super built-up  Area,Ready To Move,3 BHK,Law College Road,MJinele,1163,2,2,62
Built-up  Area,Ready To Move,2 Bedroom,Laxmi Road,,1200,2,0,65
Plot  Area,Ready To Move,8 Bedroom,Lulla Nagar,,1200,8,1,135
Plot  Area,Ready To Move,4 Bedroom,Mahatma Gandhi Road,,3090,4,,325
Built-up  Area,Ready To Move,2 BHK,Mangalwar peth,Prersis,1299,2,1,100
Built-up  Area,18-Dec,2 BHK,Manik Bagh,,1130,2,1,32.63
Super built-up  Area,Ready To Move,2 BHK,Market yard,,1170,2,2,75
Super built-up  Area,18-Mar,3 BHK,Model colony,Shestut,1750 - 2640,,,152
Super built-up  Area,Ready To Move,4 BHK,Mukund Nagar,NCs 2rj,2600,4,3,175
Super built-up  Area,Ready To Move,2 BHK,Mundhawa,LVniaar,1140,2,1,43.32
Super built-up  Area,Ready To Move,3 BHK,Nagar Road,Goelsn ,1900,3,3,125
Built-up  Area,18-Jul,2 BHK,Nana Peth,,1090,2,1,31.48
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,YCnce R,1110,2,1,39.95
Super built-up  Area,18-Jan,1 BHK,Narayangaon,PuonsSe,705,1,1,57
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,Visom B,1089,2,1,60
Plot  Area,Ready To Move,2 Bedroom,Padmavati,,880,2,1,48
Built-up  Area,Ready To Move,2 BHK,Parvati Darshan,Jaood G,1080,2,2,32
Super built-up  Area,18-Feb,2 BHK,Pashan,Bhmesy ,1093,2,1,68.1
Super built-up  Area,18-Oct,3 BHK,Paud Road,,1480,3,1,75.48
Super built-up  Area,Ready To Move,3 BHK,Pirangut,Soiniy ,1703,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,Srntsha,1200,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,Asintas,1690,3,2,116
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,Shana S,1305,2,1,78
Super built-up  Area,18-Sep,3 BHK,Raviwar Peth,,1257,2,2,40.22
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,,1150,2,2,45
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,Pantsce,1194,2,0,55
Built-up  Area,Ready To Move,3 Bedroom,Salunke Vihar,,2000,3,1,90
Plot  Area,Ready To Move,3 Bedroom,Sasson Road,,1500,4,1,99
Built-up  Area,Ready To Move,2 BHK,Satara Road,,1025,2,0,42.5
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,980,2,1,38.19
Plot  Area,Ready To Move,3 Bedroom,Shaniwar Peth,,1200,2,1,100
Super built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,UKe 2nz,2225,3,1,149
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,Oce 1nd,1022,2,2,57
Plot  Area,Ready To Move,4 Bedroom,Sinhagad Road,,882,3,0,72
Built-up  Area,Ready To Move,2 BHK,Somwar Peth,Shsom B,1153,2,2,45
Super built-up  Area,Ready To Move,2 BHK,Swargate,,1175,2,2,60
Built-up  Area,Ready To Move,3 BHK,Tilak Road,Suent A,1560,3,3,68
Built-up  Area,Ready To Move,1 BHK,Uruli Devachi,,650,1,1,17
Plot  Area,Ready To Move,3 Bedroom,Vadgaon Budruk,,600,3,2,65
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,BancyRe,1350,3,2,55
Plot  Area,Ready To Move,2 Bedroom,Viman Nagar,,1200,2,1,76
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,,1200,1,1,54
Super built-up  Area,Ready To Move,2 BHK,Wagholi,Arhid O,800,2,1,25
Super built-up  Area,20-Dec,4 BHK,Wakadewadi,KonteiT,2093,4,1,104
Super built-up  Area,18-Oct,3 BHK,Wanowrie,,1320,2,2,55.44
Super built-up  Area,Ready To Move,2 BHK,Warje,SNity S,1275,2,1,73
Super built-up  Area,Ready To Move,2 BHK,Yerawada,Dhalsh ,1215,2,2,43.13
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,,1130,2,1,45.2
Super built-up  Area,Ready To Move,3 BHK,Ambegaon Budruk,MJilayl,1444,2,2,71.5
Super built-up  Area,Ready To Move,2 BHK,Anandnagar,Ranorar,950,2,2,38
Super built-up  Area,Ready To Move,2 BHK,Aundh,,1000,1,,90
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,,1240,2,2,59.52
Plot  Area,Ready To Move,4 Bedroom,Balaji Nagar,,600,4,2,125
Super built-up  Area,Ready To Move,2 BHK,Baner,Adity T,1231,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Baner road,,1300,2,1,120
Super built-up  Area,18-Aug,3 BHK,Bhandarkar Road,Aroomba,1713,3,2,110
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1200,2,1,53.33
Built-up  Area,Ready To Move,3 Bedroom,Bibvewadi,AztheBr,3004,4,,158
Built-up  Area,Ready To Move,3 BHK,Bopodi,DSgam S,1310,2,0,46
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Kuownri,790,2,1,49.5
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Proodt ,1744,3,1,200
Super built-up  Area,Ready To Move,3 BHK,Camp,,1605,3,2,100
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,Gotis A,1250,2,2,82
Super built-up  Area,Ready To Move,3 BHK,Dapodi,Sariaat,2476,3,3,337
Built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,Mayne A,1260,2,2,76
Super built-up  Area,18-Aug,3 BHK,Dehu Road,ProdsWe,1615,3,1,175
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,,1180,2,1,56
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,,1255,2,2,50.19
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,GMown E,1025,2,1,53.9
Super built-up  Area,Ready To Move,3 BHK,Erandwane,Puallhi,1877,4,2,150
Built-up  Area,Ready To Move,3 BHK,Fatima Nagar,RothaVa,1649,3,2,150
Plot  Area,Ready To Move,9 Bedroom,Fergusson College Road,,2600,12,,675
Built-up  Area,Ready To Move,5 Bedroom,Ganesh Peth,,2500,5,2,125
Built-up  Area,Ready To Move,3 BHK,Ganeshkhind,,1542,3,2,98
Super built-up  Area,Ready To Move,2 BHK,Ghorpade Peth,Prtanha,1418,2,2,105
Built-up  Area,Ready To Move,2 BHK,Ghorpadi,BhncyRe,1012,2,0,42
Plot  Area,Ready To Move,2 Bedroom,Gokhale Nagar,,1200,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Gultekdi,,1115,2,2,43
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,VVbhion,1680,4,3,95
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Saesttt,1171,2,2,72
Super built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,Sahtsva,1027,2,1,68.62
Super built-up  Area,Ready To Move,3 BHK,Hingne Khurd,,1700,3,3,75
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,SPavenc,1090,2,2,38.15
Super built-up  Area,18-Jan,2 BHK,Kalyani Nagar,Puachal,1232,2,1,74
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,,766,2,2,28
Plot  Area,Ready To Move,5 Bedroom,Karve Road,,1200,5,0,180
Super built-up  Area,21-Dec,1 BHK,Kasba Peth,PrarePa,525,1,1,27
Super built-up  Area,18-Aug,3 BHK,Katraj,Sosisic,142.61Sq. Meter,3,1,109
Built-up  Area,Ready To Move,3 BHK,Khadaki,,1452,2,1,41
Super built-up  Area,Ready To Move,3 BHK,Khadki,Aharlve,1254,2,1,65
Built-up  Area,Ready To Move,5 Bedroom,Kharadi,,3600,5,0,110
Super built-up  Area,19-Jul,3 BHK,Kondhwa,Soazak ,1593,3,1,118
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Soarkge,1333,2,2,77.27
Built-up  Area,Ready To Move,3 Bedroom,Kondhwa Khurd,,1100,3,1,110
Super built-up  Area,Ready To Move,3 BHK,Koregaon Park,Lancyey,1375,2,1,54.99
Super built-up  Area,Ready To Move,3 BHK,Kothrud,Mahtsba,1650,3,3,82
Super built-up  Area,Ready To Move,3 BHK,Law College Road,MenueNo,1430,2,2,51.48
Built-up  Area,Ready To Move,2 BHK,Laxmi Road,Pao 3ow,940,2,1,54
Super built-up  Area,Ready To Move,1 BHK,Lulla Nagar,GMown E,435,1,1,21
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Dhalsh ,1160,2,2,36.54
Super built-up  Area,18-Mar,3 BHK,Mangalwar peth,GMown E,1500,2,1,77.5
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,KHage G,1890,2,1,100
Built-up  Area,Ready To Move,2 BHK,Market yard,,1050,2,1,70
Plot  Area,Ready To Move,6 Bedroom,Model colony,,1200,6,3,220
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,,1027,2,2,43
Super built-up  Area,18-Dec,3 BHK,Mundhawa,BSlasin,1390 - 1600,,,61.28
Plot  Area,Ready To Move,3 Bedroom,Nagar Road,Stndeil,3000,4,2,235
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,Soubya ,1459,2,1,95
Super built-up  Area,21-Mar,3 BHK,Narayan Peth,Goues A,1711,3,3,85.61
Super built-up  Area,22-Jun,2 BHK,Narayangaon,GoAirej,1250,2,2,98
Super built-up  Area,18-Sep,1 BHK,Navi Peth,SunceEs,645,1,1,16.45
Plot  Area,Ready To Move,2 Bedroom,Padmavati,,875,2,1,57
Built-up  Area,18-Feb,2 BHK,Parvati Darshan,,1334,2,1,67
Built-up  Area,18-Dec,2 BHK,Pashan,,1140,2,1,32.92
Super built-up  Area,Ready To Move,2 BHK,Paud Road,,1115,2,2,50
Plot  Area,Ready To Move,3 Bedroom,Pirangut,,1200,5,2,200
Super built-up  Area,18-Aug,3 BHK,Prabhat Road,ProdsWe,1776,3,1,190
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,Prtanha,2072,4,2,160
Plot  Area,Ready To Move,3 Bedroom,Rasta Peth,Roima A,1600,3,2,170
Plot  Area,Ready To Move,6 Bedroom,Raviwar Peth,,1200,4,2,115
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,Malowr ,920,2,3,39
Super built-up  Area,19-Feb,2 BHK,Sahakar Nagar,PavesGr,598 - 958,2,0,25.29
Plot  Area,Ready To Move,4 Bedroom,Salunke Vihar,,1310,3,3,95
Super built-up  Area,Ready To Move,3 BHK,Sasson Road,Goty  E,1631,3,2,80
Super built-up  Area,21-Dec,1 BHK,Satara Road,PrarePa,525,1,1,27.5
Built-up  Area,Ready To Move,3 BHK,Senapati Bapat Road,Reodsnc,1395,3,3,82
Super built-up  Area,Ready To Move,3 BHK,Shaniwar Peth,Krtonwe,2000,3,2,105
Super built-up  Area,18-Jul,2 BHK,Shivaji Nagar,Puachal,1232,2,1,66
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,,1075,2,1,55
Super built-up  Area,Ready To Move,2 BHK,Sinhagad Road,MauilTr,1205,2,2,70
Plot  Area,Ready To Move,4 Bedroom,Somwar Peth,,1200,4,2,165
Super built-up  Area,Ready To Move,4 BHK,Swargate,PuoodSk,2340,5,1,129
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,Amlisai,1179,2,1,55
Super built-up  Area,Ready To Move,2 BHK,Uruli Devachi,Shyas S,1013,2,1,51
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,SLnssPr,1160,2,2,40.6
Plot  Area,Ready To Move,8 Bedroom,Wadgaon Sheri,,1500Cents,6,2,290
Super built-up  Area,Ready To Move,2 BHK,Viman Nagar,Hiestre,1200,2,2,62.5
Plot  Area,Ready To Move,7 Bedroom,Vishrant Wadi,,1200,5,0,80
Super built-up  Area,Ready To Move,3 BHK,Wagholi,,1255,2,3,50.19
Built-up  Area,Ready To Move,3 BHK,Wakadewadi,,1100,2,1,145
Built-up  Area,Ready To Move,2 BHK,Wanowrie,SPontna,1069,2,1,55
Plot  Area,Ready To Move,3 Bedroom,Warje,Ceonyy ,1200,3,2,99
Super built-up  Area,Ready To Move,1 BHK,Yerawada,,1400,1,1,285
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,Inden O,1065,2,2,55
Built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,BVeneSe,1395,2,0,75
Built-up  Area,Ready To Move,3 BHK,Anandnagar,Goateds,1725,2,1,165
Built-up  Area,Ready To Move,2 BHK,Aundh,Naenti ,1007,2,2,43
Built-up  Area,Ready To Move,3 BHK,Aundh Road,,1436,2,2,55
Super built-up  Area,Ready To Move,6 BHK,Balaji Nagar,,4250,6,3,150
Super built-up  Area,19-Jun,3 BHK,Baner,Raard B,1645,3,2,117
Plot  Area,Ready To Move,2 Bedroom,Baner road,,1200,2,0,58
Super built-up  Area,19-Apr,2 BHK,Bhandarkar Road,Brama P,940,2,1,43.61
Built-up  Area,Ready To Move,6 Bedroom,Bhavani Peth,,4300,6,2,175
Super built-up  Area,20-Dec,3 BHK,Bibvewadi,Cehosy ,2850,5,3,343
Built-up  Area,Ready To Move,3 BHK,Bopodi,,1740,3,2,191
Super built-up  Area,18-May,2 BHK,Budhwar Peth,,1194,2,2,47
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,,3761,3,2,650
Super built-up  Area,Ready To Move,3 BHK,Camp,,1829,3,2,125
Plot  Area,Ready To Move,4 Bedroom,Chandan Nagar,,1800,4,3,178
Super built-up  Area,Ready To Move,2 BHK,Dapodi,,1000,2,1,60
Built-up  Area,Ready To Move,3 Bedroom,Deccan Gymkhana,,5720,3,0,350
Plot  Area,Ready To Move,5 Bedroom,Dehu Road,,800,4,2,98
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,Jahipa ,675,1,1,15
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,Chtert ,1390,2,2,95
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,RothaVa,1500,3,2,104
Super built-up  Area,21-Jun,3 BHK,Erandwane,Saityat,2047,3,2,136
Super built-up  Area,Ready To Move,2 BHK,Fatima Nagar,HRaniIb,1202,2,1,79
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,Seityen,1012,2,1,59
Super built-up  Area,Ready To Move,3 BHK,Ganesh Peth,Paestol,2132,3,3,80
Plot  Area,Ready To Move,4 Bedroom,Ganeshkhind,,1350,4,3,340
Super built-up  Area,Ready To Move,1 BHK,Ghorpade Peth,,605,1,1,40
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,Prncyrn,1331,2,1,88
Plot  Area,18-May,2 Bedroom,Gokhale Nagar,,1200,2,0,69
Built-up  Area,Ready To Move,2 BHK,Gultekdi,,1150,2,0,250
Plot  Area,Ready To Move,2 Bedroom,Guruwar peth,,1200,2,1,136
Built-up  Area,Ready To Move,2 Bedroom,Hadapsar,Bebalrk,1800,2,0,300
Plot  Area,Ready To Move,3 Bedroom,Hadapsar Industrial Estate,,600,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Hingne Khurd,Rainet ,1280,2,2,49
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,Soresea,1007,2,1,62
Super built-up  Area,18-May,3 BHK,Kalyani Nagar,SLityee,1370,2,1,61
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,Sothin ,925,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Karve Road,,1500,2,0,75
Built-up  Area,Ready To Move,1 BHK,Kasba Peth,Jae 1hu,450,1,1,12.5
Built-up  Area,Ready To Move,4 Bedroom,Katraj,,1200,4,1,140
Super built-up  Area,19-Mar,2 BHK,Khadaki,Puachal,1341,2,1,95
Super built-up  Area,Ready To Move,3 BHK,Khadki,,1350,2,2,47.25
Super built-up  Area,Ready To Move,2 BHK,Kharadi,Sahtsva,992,2,1,60
Super built-up  Area,Ready To Move,2 BHK,Kondhwa,RaontWa,1163,2,2,68
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Ceiti I,1229,2,2,70
Plot  Area,Ready To Move,2 Bedroom,Kondhwa Khurd,,600,2,2,39
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,Coomee ,1219,2,1,61.26
Super built-up  Area,Ready To Move,3 BHK,Kothrud,GRvanun,1525,2,2,99.13
Super built-up  Area,20-Jun,2 BHK,Law College Road,Esareap,1147,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,DLhtsnd,1412,2,3,88
Plot  Area,Ready To Move,9 Bedroom,Lulla Nagar,,1200,9,3,215
Super built-up  Area,19-Jun,2 BHK,Mahatma Gandhi Road,,1044,2,1,34.77
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,KohraNa,1190,2,2,63
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,,1240,2,2,65
Super built-up  Area,Ready To Move,3 BHK,Market yard,DLhtsen,1352,3,1,65
Built-up  Area,Ready To Move,2 BHK,Model colony,,1100,2,2,55
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,SLnssPr,1330,2,2,39.9
Super built-up  Area,20-Nov,3 BHK,Mundhawa,,1700,3,2,111
Super built-up  Area,18-Apr,2 BHK,Nagar Road,Prarkun,1355,2,1,67
Super built-up  Area,18-Nov,2 BHK,Nana Peth,Vaharvi,1200,2,1,46
Super built-up  Area,Ready To Move,1 BHK,Narayan Peth,,400,2,1,25
Built-up  Area,Ready To Move,2 BHK,Narayangaon,Tiare S,1342,2,,70
Super built-up  Area,Ready To Move,3 BHK,Navi Peth,Dhalsh ,1615,3,2,50.87
Super built-up  Area,Ready To Move,2 BHK,Padmavati,,1340,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,,1200,2,1,54
Built-up  Area,Ready To Move,1 Bedroom,Pashan,,400,1,0,55
Super built-up  Area,Ready To Move,2 BHK,Paud Road,Brrds O,1080,2,1,52
Super built-up  Area,Ready To Move,2 BHK,Pirangut,SuanaNa,1600,2,1,31
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,Prtor N,1200,2,0,34
Plot  Area,17-Apr,3 Bedroom,Pune Railway Station,,2700,3,2,150
Built-up  Area,Ready To Move,3 Bedroom,Rasta Peth,,1780,3,0,110
Built-up  Area,Ready To Move,3 BHK,Raviwar Peth,Pranai ,1605,3,2,65
Super built-up  Area,17-Sep,4 BHK,Sadashiv Peth,,7200,5,2,1584
Plot  Area,Ready To Move,3 Bedroom,Sahakar Nagar,,646,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Salunke Vihar,Bhide P,1200,2,2,80
Plot  Area,Ready To Move,2 Bedroom,Sasson Road,,900,2,0,49
Built-up  Area,19-Dec,3 Bedroom,Satara Road,,1830,3,1,88
Plot  Area,Ready To Move,5 Bedroom,Senapati Bapat Road,,690,4,1,83
Built-up  Area,Ready To Move,1 BHK,Shaniwar Peth,,650,1,3,500
Plot  Area,Ready To Move,5 Bedroom,Shivaji Nagar,,1800,4,1,68
Built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,,715,2,0,32
Super built-up  Area,18-Sep,3 BHK,Sinhagad Road,SunceEs,1230,2,2,31.37
Super built-up  Area,Ready To Move,2 BHK,Somwar Peth,,1065,2,1,42.59
Plot  Area,Ready To Move,8 Bedroom,Swargate,,1350,8,2,185
Plot  Area,Ready To Move,3 Bedroom,Tilak Road,,1080,3,2,149
Built-up  Area,Ready To Move,3 BHK,Uruli Devachi,,900,2,0,65
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,CMhidal,946,2,2,45
Super built-up  Area,Ready To Move,1 BHK,Wadgaon Sheri,,1500,1,0,60
Super built-up  Area,18-May,3 BHK,Viman Nagar,PualeSk,1711,3,1,110
Plot  Area,Ready To Move,4 Bedroom,Vishrant Wadi,,1200,3,2,160
Super built-up  Area,18-Aug,2 BHK,Wagholi,SuVue S,950,2,1,25.65
Super built-up  Area,Ready To Move,3 BHK,Wakadewadi,Brlms P,1656,3,2,80
Super built-up  Area,Ready To Move,2 BHK,Wanowrie,Ayaya A,1075,2,1,46.76
Super built-up  Area,Ready To Move,3 BHK,Warje,,1752.12,3,2,133
Plot  Area,Ready To Move,8 Bedroom,Yerawada,,6000,8,0,220
Super built-up  Area,Ready To Move,3 BHK,Alandi Road,,1540,3,3,85
Plot  Area,Ready To Move,4 Bedroom,Ambegaon Budruk,,600,4,3,125
Super built-up  Area,Ready To Move,1 BHK,Anandnagar,Ciisera,665,1,2,32
Super built-up  Area,Ready To Move,3 BHK,Aundh,,1665,3,,110
Super built-up  Area,18-Mar,2 BHK,Aundh Road,Shitt S,1145,2,1,54
Super built-up  Area,18-Aug,2 BHK,Balaji Nagar,SSdhimr,1185,2,2,41
Plot  Area,Ready To Move,3 Bedroom,Baner,,1200,3,1,190
Built-up  Area,Ready To Move,3 BHK,Baner road,Duals P,1693,3,2,125
Super built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,Toiasle,2456,3,3,220
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,PhestOn,2559,3,2,403
Super built-up  Area,Ready To Move,2 BHK,Bibvewadi,SLnssPr,1155,2,1,40.6
Super built-up  Area,17-Oct,3 BHK,Bopodi,,1610,2,2,64.4
Plot  Area,18-Nov,3 Bedroom,Budhwar Peth,,1200,3,2,56.58
Plot  Area,Ready To Move,2 Bedroom,Bund Garden Road,,1530,2,1,185
Built-up  Area,Ready To Move,3 BHK,Camp,,1709,3,1,80
Plot  Area,Ready To Move,4 Bedroom,Chandan Nagar,,600,4,0,60
Plot  Area,Ready To Move,8 Bedroom,Dapodi,,2700,8,,290
Plot  Area,Ready To Move,1 Bedroom,Deccan Gymkhana,,840,1,1,150
Super built-up  Area,Ready To Move,3 BHK,Dehu Road,,1400,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,Thisea ,1200,2,1,42
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,SGllaav,1439,3,1,57.23
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,,1375,2,2,72
Plot  Area,Ready To Move,5 Bedroom,Erandwane,,2990,5,3,416
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,,1200,2,1,75
Built-up  Area,Ready To Move,2 BHK,Fergusson College Road,Velas V,1315,2,3,75
Plot  Area,18-Mar,2 Bedroom,Ganesh Peth,,1500,2,0,40
